Record,Vital,Lag,MAE,RMSE,MAPE
p000695-2178-08-05-13-17n,RESP,4,2.1172563211497435,2.423654014217825,10.163348510038963
p000695-2178-08-05-13-17n,SpO2,4,1.3498018260942217,1.7553492958894283,1.3978788169548304
p000719-2171-06-16-23-53n,HR,1,4.648684398201304,5.471030744776289,5.568608850241315
p000719-2171-06-16-23-53n,RESP,1,1.5126896075070226,1.9831396801760222,10.616164323150182
p000719-2171-06-16-23-53n,SpO2,1,0.38371687481063643,0.47449849581865816,0.3890451475320298
p000735-2128-05-28-13-23n,HR,4,0.27657789599576577,0.32278171798068683,0.34314875433717834
p000735-2128-05-28-13-23n,RESP,4,0.5060465229644852,0.5199835432906896,2.8509663265604797
p000735-2128-05-28-13-23n,SpO2,4,0.2000173564071787,0.21454593059667648,0.20001735640717866
p000772-2189-10-09-15-26n,HR,1,1.781996886413387,2.3287628300403633,2.6677984864901756
p000772-2189-10-09-15-26n,RESP,1,0.86217635578515,1.0366173474370843,5.7102444004186195
p000772-2189-10-09-15-26n,SpO2,1,0.4533618563003145,0.5075592065241035,0.4617674861179446
p000773-2109-03-17-23-33n,HR,1,1.5995425261035634,2.2259270229181816,1.472121702748639
p000773-2109-03-17-23-33n,RESP,1,2.513151098528735,2.7191956526272434,13.03988265256881
p000773-2109-03-17-23-33n,SpO2,1,0.3188119895866109,0.38193871907884286,0.3282034477686715
p000843-2150-07-02-14-50n,HR,5,1.6451873758663311,1.8599046923357583,1.9292095806684957
p000843-2150-07-02-14-50n,RESP,5,0.01075270968748221,0.012508597388764028,0.0768050691963015
p000843-2150-07-02-14-50n,SpO2,5,0.3831261907175062,0.5540455061043528,0.4081508709736826
p000865-2199-05-23-11-36n,HR,1,10.200302425818204,13.64865192983397,9.992905353848357
p000865-2199-05-23-11-36n,RESP,1,1.6000739601274074,1.7375542723399742,17.05900153219991
p000865-2199-05-23-11-36n,SpO2,1,0.6887424336035692,0.7218773089052375,0.7097313211534566
p000894-2108-11-13-22-25n,HR,1,2.3582107174272493,2.7893568326976355,2.4841440701367272
p000894-2108-11-13-22-25n,RESP,1,0.9784405721244372,1.18027616875184,4.4453978117574255
